fdc_id,description,data_type,food_category_id,Calories,Carbohydrates,Fat,Fiber,Protein,Sodium
321358,"Hummus, commercial",foundation_food,16.0,229.0,14.9,17.1,5.4,7.35,438.0
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",foundation_food,1.0,50.0,4.91,1.9,,3.35,39.0
321360,"Tomatoes, grape, raw",foundation_food,11.0,27.0,5.51,0.63,2.1,0.83,6.0
321611,"Beans, snap, green, canned, regular pack, drained solids",foundation_food,11.0,21.0,4.11,0.39,,1.04,282.0
321900,"Broccoli, raw",foundation_food,11.0,32.0,6.29,0.34,2.4,2.57,36.0
322228,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",foundation_food,1.0,43.0,5.19,0.95,,3.38,39.0
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",foundation_food,1.0,34.0,4.89,0.08,,3.43,41.0
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",foundation_food,1.0,60.0,4.67,3.2,,3.28,38.0
323121,"Frankfurter, beef, unheated",foundation_food,7.0,314.0,2.89,28.0,,11.7,872.0
323294,"Nuts, almonds, dry roasted, with salt added",foundation_food,12.0,620.0,16.2,57.8,11.0,20.4,256.0
323444,"Cheese, ricotta, whole milk",foundation_food,1.0,157.0,6.86,11.0,,7.81,105.0
323505,"Kale, raw",foundation_food,11.0,35.0,4.42,1.49,4.1,2.92,53.0
323604,"Egg, whole, raw, frozen, pasteurized",foundation_food,1.0,150.0,0.91,10.3,,12.3,121.0
323697,"Egg, white, raw, frozen, pasteurized",foundation_food,1.0,48.0,0.74,0.16,,10.1,144.0
323793,"Egg, white, dried",foundation_food,1.0,376.0,6.02,0.65,,79.9,1250.0
324038,"Sauce, salsa, ready-to-serve",foundation_food,6.0,29.0,6.74,0.19,1.8,1.44,656.0
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",foundation_food,7.0,328.0,3.37,28.7,,13.3,866.0
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",foundation_food,11.0,288.0,36.3,14.4,2.4,4.52,374.0
324653,"Pickles, cucumber, dill or kosher dill",foundation_food,11.0,12.0,1.99,0.43,1.0,0.48,808.0
324860,"Peanut butter, smooth style, with salt",foundation_food,16.0,597.0,22.3,51.1,4.8,22.5,429.0
325036,"Cheese, parmesan, grated",foundation_food,1.0,421.0,12.4,28.0,,29.6,1750.0
325198,"Cheese, pasteurized process, American, vitamin D fortified",foundation_food,1.0,366.0,5.27,30.6,,18.0,1660.0
325287,"Grapefruit juice, white, canned or bottled, unsweetened",foundation_food,9.0,37.0,7.59,0.7,0.2,0.55,1.0
325430,"Peaches, yellow, raw",foundation_food,9.0,42.0,10.1,0.27,1.5,0.91,13.0
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",foundation_food,12.0,612.0,17.1,56.1,10.3,21.0,532.0
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",foundation_food,7.0,322.0,2.15,26.2,,18.2,766.0
325871,"Bread, white, commercially prepared",foundation_food,18.0,270.0,49.2,3.59,2.3,9.43,477.0
325992,"Sausage, turkey, breakfast links, mild, raw",foundation_food,7.0,169.0,0.93,10.4,,16.7,599.0
326135,"Cheese, swiss",foundation_food,1.0,393.0,1.44,31.0,,27.0,185.0
326196,"Kale, frozen, cooked, boiled, drained, without salt",foundation_food,11.0,36.0,5.3,1.21,,2.94,16.0
326458,"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",foundation_food,11.0,37.0,7.92,0.47,3.2,0.81,66.0
326698,"Mustard, prepared, yellow",foundation_food,2.0,61.0,5.3,3.38,4.3,4.25,1100.0
326905,"Figs, dried, uncooked",foundation_food,9.0,249.0,63.9,0.92,9.8,3.3,10.0
327046,"Kiwifruit, green, raw",foundation_food,9.0,58.0,14.0,0.44,3.0,1.06,5.0
327198,"Melons, cantaloupe, raw",foundation_food,9.0,34.0,8.16,0.18,0.8,0.82,30.0
327357,"Nectarines, raw",foundation_food,9.0,39.0,9.18,0.28,1.5,1.06,13.0
327501,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",foundation_food,9.0,47.0,11.8,0.15,2.0,0.91,9.0
327699,"Strawberries, raw",foundation_food,9.0,31.0,7.63,0.22,1.8,0.64,10.0
327923,"Lettuce, cos or romaine, raw",foundation_food,11.0,17.0,3.24,0.26,1.8,1.24,
328637,"Cheese, cheddar",foundation_food,1.0,408.0,2.44,34.0,,23.3,654.0
328841,"Cheese, cottage, lowfat, 2% milkfat",foundation_food,1.0,84.0,4.31,2.3,,11.0,321.0
329370,"Cheese, mozzarella, low moisture, part-skim",foundation_food,1.0,298.0,4.44,20.4,,23.7,699.0
329490,"Egg, whole, dried",foundation_food,1.0,575.0,1.87,39.8,,48.1,485.0
329596,"Egg, yolk, raw, frozen, pasteurized",foundation_food,1.0,296.0,0.59,25.1,,15.6,66.0
329716,"Egg, yolk, dried",foundation_food,1.0,654.0,1.07,55.5,,34.2,149.0
329830,"Cheese, dry white, queso seco",foundation_food,1.0,326.0,2.07,24.3,,24.5,1810.0
330137,"Yogurt, Greek, plain, nonfat",foundation_food,1.0,61.0,3.64,0.37,,10.3,36.0
330415,"Yogurt, Greek, strawberry, nonfat",foundation_food,1.0,83.0,12.2,0.15,0.6,8.06,32.0
330458,"Oil, coconut",foundation_food,4.0,833.0,0.84,99.1,,0.0,0.0
330869,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",foundation_food,5.0,220.0,0.0,11.6,,27.1,90.0
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",foundation_food,5.0,156.0,0.0,5.95,,23.9,117.0
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",foundation_food,5.0,166.0,0.0,3.24,,32.1,47.0
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",foundation_food,6.0,45.0,8.05,1.48,1.8,1.41,419.0
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",foundation_food,7.0,106.0,0.27,3.73,,16.7,1040.0
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",foundation_food,9.0,57.0,15.1,0.16,3.1,0.38,7.0
332791,"Olives, green, Manzanilla, stuffed with pimiento",foundation_food,9.0,130.0,4.96,12.9,4.0,1.15,1620.0
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",foundation_food,7.0,346.0,2.63,28.1,,19.3,983.0
333008,"Cookies, oatmeal, soft, with raisins",foundation_food,18.0,430.0,69.6,14.3,3.3,5.79,314.0
333281,"Tomatoes, canned, red, ripe, diced",foundation_food,11.0,18.0,3.32,0.5,,0.84,125.0
333374,"Fish, haddock, raw",foundation_food,15.0,74.0,0.0,0.45,,16.3,213.0
333476,"Fish, pollock, raw",foundation_food,15.0,56.0,0.0,0.41,,12.3,333.0
334194,"Fish, tuna, light, canned in water, drained solids",foundation_food,15.0,90.0,0.08,0.94,,19.0,219.0
334247,"Sugars, granulated",foundation_food,19.0,385.0,99.6,0.32,,0.0,1.0
334462,"Restaurant, Chinese, sweet and sour pork",foundation_food,25.0,260.0,25.5,13.6,1.0,8.88,304.0
334536,"Restaurant, Chinese, fried rice, without meat",foundation_food,25.0,174.0,32.5,3.19,,3.84,361.0
334628,"Restaurant, Latino, tamale, pork",foundation_food,25.0,174.0,15.8,9.04,2.4,7.38,473.0
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",foundation_food,25.0,229.0,31.5,9.01,5.8,5.59,305.0
334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",foundation_food,13.0,155.0,0.0,6.39,,22.8,45.0
334897,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",foundation_food,13.0,176.0,0.0,6.36,,27.7,54.0
334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",foundation_food,13.0,122.0,0.0,2.48,,23.4,50.0
334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",foundation_food,13.0,123.0,0.0,2.41,,23.7,55.0
335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",foundation_food,13.0,219.0,0.0,11.4,,27.3,67.0
335109,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",foundation_food,13.0,145.0,0.0,5.32,,22.7,43.0
335240,"Bread, whole-wheat, commercially prepared",foundation_food,18.0,254.0,43.1,3.55,6.0,12.3,450.0
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",foundation_food,13.0,176.0,0.0,6.36,,27.7,54.0
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",foundation_food,13.0,155.0,0.0,6.39,,22.8,45.0
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",foundation_food,13.0,122.0,0.0,2.48,,23.4,50.0
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",foundation_food,13.0,123.0,0.0,2.41,,23.7,55.0
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",foundation_food,13.0,145.0,0.0,5.32,,22.7,43.0
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",foundation_food,13.0,219.0,0.0,11.4,,27.3,67.0
746764,"Carrots, frozen, unprepared",foundation_food,11.0,37.0,7.92,0.47,3.2,0.81,66.0
746765,"Cheese, dry white, queso seco",foundation_food,1.0,326.0,2.07,24.3,,24.5,1810.0
746766,"Cheese, ricotta, whole milk",foundation_food,1.0,157.0,6.86,11.0,,7.81,105.0
746767,"Cheese, swiss",foundation_food,1.0,393.0,1.44,31.0,,27.0,185.0
746768,"Figs, dried, uncooked",foundation_food,9.0,249.0,63.9,0.92,9.8,3.3,10.0
746769,"Lettuce, cos or romaine, raw",foundation_food,11.0,17.0,3.24,0.26,1.8,1.24,
746770,"Melons, cantaloupe, raw",foundation_food,9.0,34.0,8.16,0.18,0.8,0.82,30.0
746771,"Oranges, raw, navels",foundation_food,9.0,47.0,11.8,0.15,2.0,0.91,9.0
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",foundation_food,1.0,43.0,5.18,0.95,,3.38,39.0
746773,"Pears, raw, bartlett",foundation_food,9.0,57.0,15.1,0.16,3.1,0.38,7.0
746774,"Restaurant, Chinese, sweet and sour pork",foundation_food,25.0,260.0,25.5,13.6,1.0,8.88,304.0
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",foundation_food,1.0,34.0,4.92,0.08,,3.43,41.0
746777,"Sauce, salsa, ready-to-serve",foundation_food,6.0,29.0,6.74,0.19,1.8,1.44,656.0
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",foundation_food,1.0,50.0,4.9,1.9,,3.36,39.0
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",foundation_food,7.0,328.0,3.37,28.7,,13.3,866.0
